ID,"Ticket ID",Description,Company,Property,"Opportunity Manager",State,"Created Date",Type,Invoice,Stage,"Sale Price","Service Type - Hustad"
1547933,1325985,"Q,I, and P repairs needed","Tailwind Group","The Quarters Manhattan","Ashley Walter",KS,"07/01/2025 04:57:00 PM",Scope,5450,Invoiced,5450.00,"SCOPE APPROVED"
1547939,1325986,"Leak Repairs Unit 1306","Solidago Residential Services","Newport Village","Nancy Ly",TX,"07/01/2025 03:40:32 PM",Scope,2200,Invoiced,2200.00,"SCOPE APPROVED"
1548112,1325987,"Roof leak","Dial Senior Living","Woodlands Creek Senior Living","Chad Eckols",IA,"07/01/2025 04:43:45 PM",Scope,750,Invoiced,750.00,"SCOPE APPROVED"
1548522,1325998,"New leak areas identified","Cardinal Group Management","Varsity House Gainesville","Nancy Ly",FL,"07/01/2025 10:12:25 PM",Scope,2165,Invoiced,2000.00,"SCOPE APPROVED"
1548639,1326005,"Leak repairs requested","DP Management","1406 Veterans Dr","Chad Eckols",NE,"07/02/2025 10:29:40 AM",Scope,1700,Invoiced,1700.00,"SCOPE APPROVED"
1549268,1326022,"Leak repairs Hallway and 1417","Tailwind Group","Quarters Bloomington","Ashley Walter",IN,"07/02/2025 07:10:14 PM",Scope,4850,Invoiced,4850.00,"SCOPE APPROVED"
1549344,1326024,"Leak repair nail salon","DP Management","ILD Lakeside LLC","Chad Eckols",NE,"07/02/2025 06:47:31 PM",Scope,425,Invoiced,425.00,"SCOPE APPROVED"
1549385,1326025,"Leak Repair from Inspection Report Plus Replace Decking","T. Wall Enterprises","Watermark Lofts","Chad Eckols",WI,"07/02/2025 07:09:17 PM",Scope,7000,Invoiced,7000.00,"SCOPE APPROVED"
1549410,1326026,"Dome replacement","HavenView Residential","Sterling Apartments at Grand Island","Chad Eckols",NE,"07/02/2025 07:21:18 PM",Scope,750,Invoiced,750.00,"SCOPE APPROVED"
1549499,1326029,"NTE $2500","Access Commercial","Ethan Allen Building","Chad Eckols",NE,"07/02/2025 08:24:49 PM",Scope,2500,Invoiced,2500.00,"SCOPE APPROVED"
1549991,1326041,"Leak site bid","Burlington Capital","2814-16 March Cir","Chad Eckols",NE,"07/03/2025 04:38:25 PM",Scope,1025,Invoiced,1025.00,"SCOPE APPROVED"
1563841,1326045,"NTE $1500 ticket","Access Commercial","Pan-Asia Market","Chad Eckols",KS,"07/07/2025 10:29:40 AM",Scope,1500,Invoiced,1500.00,"SCOPE APPROVED"
1564418,1326051,"Roof site bid for leak","Burlington Capital","2917-2919 Ryan Ave","Chad Eckols",NE,"07/07/2025 08:30:02 PM",Scope,50,Invoiced,50.00,"SCOPE APPROVED"
1564799,1326056,"Fascia/gutter site bid",Centurion,"The Canopy Gainesville","Ashley Walter",FL,"07/07/2025 09:03:31 PM",Scope,3815.81,Invoiced,3525.00,"SCOPE APPROVED"
1565252,1326067,"Leak Repair Unit 328 Skylight","Asset Living","Vistas at Plum Creek","Chad Uphoff",CO,"07/08/2025 04:10:29 PM",Scope,500,Invoiced,500.00,"SCOPE APPROVED"
1565411,1326070,"NTE 750$","Access Commercial","MWKW, LLC - Standing Stone","Chad Eckols",NE,"07/08/2025 03:45:05 PM",Scope,750,Invoiced,750.00,"SCOPE APPROVED"
1565484,1326073,"Leak Area Unit #11007 Site Bid","Cardinal Group Management","Canvas Townhomes Morgantown","Nancy Ly",WV,"07/08/2025 04:28:07 PM",Scope,500,Invoiced,500.00,"SCOPE APPROVED"
1565932,1326079,"Check Gutters 102 Building","Gallina Companies","Kearney Meadows",,WI,"07/08/2025 08:42:59 PM",Non-Billable,0,Invoiced,0.00,"WARRANTY REPAIR"
1565992,1326080,"Leak Repairs",Centurion,"Rocks at East Lansing","Cameron Gayer",MI,"07/10/2025 10:11:51 AM",Scope,500,Invoiced,500.00,"SCOPE APPROVED"
1566002,1326082,"Leak Repair 545 C & 542","Campus Life and  Style","The Scarlet","Ashley Walter",TX,"07/09/2025 09:16:29 PM",Scope,2800,Invoiced,2800.00,"SCOPE APPROVED"
1566649,1326091,"Leak issues identified","Cardinal Group Management","College and Crown Apartments","Nancy Ly",CT,"07/09/2025 06:04:01 PM",Scope,625,Invoiced,625.00,"SCOPE APPROVED"
1566991,1326097,"Leak issue cookie crumble","Access Commercial","Rogers Investments, LLC - Mission BBQ/Crumbl Cookie","Chad Eckols",IN,"07/09/2025 08:48:59 PM",Scope,500,Invoiced,500.00,"SCOPE APPROVED"
1570087,1326109,"Leak Repairs for Units 1414 & 1422","Cardinal Group Management","Park East","Nancy Ly",TX,"07/10/2025 04:22:19 PM",Scope,700,Invoiced,700.00,"SCOPE APPROVED"
1570089,1326110,"Siding site bid","Asset Living","University Crossing","Nicholas Del Villar",WA,"07/10/2025 06:15:57 PM",Scope,2700,Invoiced,2700.00,"SCOPE APPROVED"
1576207,1326115,"Leaks reported site bid","DP Management","Allstate-Caribbean Tan","Chad Eckols",NE,"07/10/2025 07:38:47 PM",Scope,2425,Invoiced,2425.00,"SCOPE APPROVED"
1576236,1326116,"NTE $500","Access Commercial","King Crab","Chad Eckols",IN,"07/10/2025 07:55:08 PM",Scope,500,Invoiced,500.00,"SCOPE APPROVED"
1576259,1326117,"Leak issues identified","Asset Living","Retreat at McEver","Chad Uphoff",GA,"07/11/2025 01:29:37 PM",Scope,1530,Invoiced,1530.00,"SCOPE APPROVED"
1597769,1326125,"Section 6 Gutter Loose from Fascia",Centurion,"The Canopy Gainesville","Ashley Walter",FL,"07/11/2025 01:11:59 PM",Scope,270.63,Invoiced,250.00,"SCOPE APPROVED"
1614202,1326137,"NTE 1000","Access Commercial","MWKW, LLC – Willow Park","Chad Eckols",NE,"07/11/2025 06:08:46 PM",Scope,950,Invoiced,950.00,"SCOPE APPROVED"
1626906,1326151,"NTE leak ticket","Access Commercial","KFAM Holdings, LLC - Spectrum/Eyes on Lincoln","Chad Eckols",NE,"07/14/2025 10:33:42 AM",Scope,1300,Invoiced,1300.00,"SCOPE APPROVED"
1626926,1326154,"Repairs to the roof needed","Burlington Capital","3314-3316 Chennault St","Chad Eckols",NE,"07/14/2025 11:28:23 AM",Scope,825,Invoiced,825.00,"SCOPE APPROVED"
1627428,1326162,"Leak Repair","Goodwill South Central Wisconsin","Store 300 Madison","Chad Eckols",WI,"07/14/2025 04:28:41 PM",Scope,1200,Invoiced,1200.00,"SCOPE APPROVED"
1627433,1326163,"Emergency Leak Repair","Tim Walbert","N1909 Loramoor Dr","Chad Eckols",WI,"07/14/2025 04:32:20 PM",Scope,1300,Invoiced,1300.00,"SCOPE APPROVED"
1627534,1326167,"Warranty repair","South Gate Companies","Hawks Ridge","Ashley Walter",IA,"07/14/2025 05:26:57 PM",Non-Billable,0,Invoiced,0.00,"WARRANTY REPAIR"
1627639,1326170,"Siding sheeting site bid","South Gate Companies","Hawks Ridge","Ashley Walter",IA,"07/14/2025 08:09:49 PM",Scope,2625,Invoiced,2625.00,"SCOPE APPROVED"
1630327,1326173,"Leak Repairs Unit 2301","Solidago Residential Services","Menchaca Commons","Nancy Ly",TX,"07/14/2025 09:55:49 PM",Scope,500,Invoiced,500.00,"SCOPE APPROVED"
1630458,1326178,"Leak areas identified","Cardinal Group Management","Villas de Sendero","Nancy Ly",TX,"07/15/2025 12:13:00 PM",Scope,1170,Invoiced,1170.00,"SCOPE APPROVED"
1631171,1326188,"New leak issue","Blair Freeman Group","7608 Fairway Dr","Chad Eckols",NE,"07/15/2025 07:38:33 PM",Scope,800,Invoiced,800.00,"SCOPE APPROVED"
1631415,1326193,"Leak Repair Unit 225","Cardinal Group Management","Villas de Sendero","Nancy Ly",TX,"07/16/2025 03:07:11 PM",Scope,575,Invoiced,575.00,"SCOPE APPROVED"
1633604,1326226,"Leak area site bid","Cardinal Group Management","The Loop","Nancy Ly",CA,"07/17/2025 11:11:23 PM",Scope,500,Invoiced,500.00,"SCOPE APPROVED"
1634109,1326234,"Documented Repairs from $2,500 NTE","Access Commercial","Sortino Asset Management Company, LLC - Ace Hardware & Vacant Bay","Chad Eckols",NE,"07/18/2025 05:36:39 PM",Scope,1550,Invoiced,1550.00,"SCOPE APPROVED"
1564230,1326049,"Roof eval- leak where garage/living room meet","Burlington Capital","2917-2919 Ryan Ave",,NE,"07/07/2025 03:03:32 PM",Inspection,0,Closed,0.00,"LEAK INSPECTION"
1566544,1326089,"Emergency Leak","Tim Walbert","N1909 Loramoor Dr",,WI,"07/09/2025 04:16:06 PM",Inspection,,Closed,0.00,"LEAK INSPECTION"
